epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9226,3.02841,5.72303,3.95648,0.00424,0.47649,0.01687,0.00417,2.85908,3.80997,3.57056,0.00332848,0.00332848,0.00332848
2,178.613,2.0169,4.29594,2.68689,0.33807,0.21647,0.1817,0.11337,1.66085,2.84971,2.36621,0.00659586,0.00659586,0.00659586
3,263.991,1.51229,3.44631,2.0962,0.3311,0.41934,0.31435,0.24279,1.28947,2.60612,2.05753,0.00979724,0.00979724,0.00979724
4,350.52,1.33267,2.72988,1.8658,0.4408,0.51539,0.47665,0.36189,1.27718,2.27894,2.00974,0.009703,0.009703,0.009703
5,445.993,1.1958,2.25516,1.71704,0.60741,0.56385,0.58097,0.49145,1.141,1.90567,1.8317,0.009604,0.009604,0.009604
6,543.663,1.13066,2.00879,1.6387,0.72857,0.61446,0.66084,0.55895,1.05835,1.60513,1.82923,0.009505,0.009505,0.009505
7,633.466,1.07096,1.82825,1.58117,0.79743,0.58651,0.69014,0.58438,1.01463,1.4714,1.79603,0.009406,0.009406,0.009406
8,723.796,1.02437,1.70696,1.52693,0.7847,0.62462,0.71781,0.62699,0.93568,1.38396,1.64748,0.009307,0.009307,0.009307
9,813.911,0.981,1.60218,1.48942,0.8487,0.67503,0.75613,0.6563,0.97638,1.18766,1.71403,0.009208,0.009208,0.009208
10,904.251,0.94752,1.52125,1.46035,0.78672,0.68554,0.74401,0.64377,0.95155,1.25915,1.71983,0.009109,0.009109,0.009109
11,994.07,0.92154,1.43523,1.4367,0.8721,0.66374,0.75128,0.66026,0.93673,1.18265,1.73804,0.00901,0.00901,0.00901
12,1083.29,0.90294,1.37645,1.42112,0.85076,0.71333,0.77124,0.6694,0.93598,1.13042,1.67521,0.008911,0.008911,0.008911
13,1174.28,0.8818,1.33592,1.39808,0.85304,0.6675,0.76449,0.68107,0.8876,1.12979,1.68666,0.008812,0.008812,0.008812
14,1265.01,0.87003,1.2905,1.39318,0.88502,0.68055,0.76983,0.67649,0.91354,1.08594,1.73388,0.008713,0.008713,0.008713
15,1355.33,0.85672,1.25247,1.37733,0.90872,0.68999,0.78498,0.6949,0.93341,0.94202,1.81301,0.008614,0.008614,0.008614
16,1442.41,0.83363,1.2038,1.35508,0.86935,0.72296,0.78543,0.70077,0.92628,0.88913,1.73209,0.008515,0.008515,0.008515
17,1529.84,0.82543,1.16311,1.34629,0.89914,0.69846,0.78742,0.69826,0.89885,0.9377,1.72131,0.008416,0.008416,0.008416
18,1617.35,0.81391,1.14746,1.34027,0.84972,0.72442,0.78293,0.70073,0.8563,0.95604,1.62463,0.008317,0.008317,0.008317
19,1704.69,0.80168,1.10637,1.32716,0.91295,0.69669,0.786,0.70714,0.85609,0.96202,1.62956,0.008218,0.008218,0.008218
20,1792,0.79787,1.08594,1.32224,0.90624,0.69616,0.78719,0.70661,0.9223,0.85138,1.75227,0.008119,0.008119,0.008119
21,1879.25,0.78019,1.05957,1.31,0.89414,0.69851,0.79937,0.71507,0.87764,0.84128,1.70161,0.00802,0.00802,0.00802
22,1966.39,0.78011,1.05981,1.30985,0.89461,0.72565,0.80204,0.71871,0.87967,0.81907,1.74872,0.007921,0.007921,0.007921
23,2053.71,0.76665,1.01399,1.29351,0.90424,0.71753,0.79466,0.71292,0.89173,0.83282,1.74938,0.007822,0.007822,0.007822
24,2140.82,0.76427,1.01064,1.29451,0.89531,0.73509,0.80193,0.7244,0.85818,0.82097,1.65883,0.007723,0.007723,0.007723
25,2229.18,0.7538,0.9843,1.287,0.88559,0.73022,0.79983,0.72291,0.86855,0.81447,1.68985,0.007624,0.007624,0.007624
26,2319.03,0.74546,0.96218,1.27745,0.89578,0.73683,0.7978,0.71963,0.86689,0.83353,1.66345,0.007525,0.007525,0.007525
27,2412.09,0.73872,0.94739,1.27582,0.88014,0.73686,0.80264,0.72733,0.87749,0.76161,1.6825,0.007426,0.007426,0.007426
28,2504.71,0.73288,0.94573,1.27183,0.89005,0.73185,0.80446,0.73154,0.8211,0.80567,1.63804,0.007327,0.007327,0.007327
29,2594.54,0.72725,0.91666,1.26059,0.8846,0.73976,0.80454,0.72989,0.83091,0.76263,1.66591,0.007228,0.007228,0.007228
30,2684.04,0.72481,0.91194,1.26295,0.85419,0.75399,0.80124,0.72953,0.84376,0.75279,1.66575,0.007129,0.007129,0.007129
31,2773.38,0.72059,0.90422,1.25813,0.87476,0.74136,0.80726,0.72742,0.83268,0.78531,1.61112,0.00703,0.00703,0.00703
32,2862.43,0.71131,0.89457,1.24719,0.89529,0.73841,0.8144,0.73504,0.81285,0.75654,1.59432,0.006931,0.006931,0.006931
33,2950.81,0.70918,0.87077,1.25014,0.90653,0.73766,0.8073,0.7336,0.85568,0.72033,1.67748,0.006832,0.006832,0.006832
34,3038.53,0.7056,0.87463,1.24356,0.9001,0.7447,0.81103,0.73741,0.82864,0.74567,1.6636,0.006733,0.006733,0.006733
35,3126.65,0.70337,0.87203,1.24189,0.87233,0.74921,0.80487,0.73468,0.81838,0.76939,1.6304,0.006634,0.006634,0.006634
36,3214.32,0.69729,0.84686,1.2369,0.8749,0.74568,0.80489,0.73482,0.82243,0.72788,1.60139,0.006535,0.006535,0.006535
37,3301.55,0.69328,0.82726,1.23078,0.88582,0.74393,0.80363,0.73181,0.83658,0.71796,1.65556,0.006436,0.006436,0.006436
38,3388.59,0.685,0.82481,1.22617,0.89255,0.74611,0.81156,0.74183,0.80945,0.74303,1.57673,0.006337,0.006337,0.006337
39,3475.96,0.67919,0.81069,1.22234,0.90044,0.73878,0.80877,0.74026,0.82928,0.69098,1.64484,0.006238,0.006238,0.006238
