epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.198,3.02461,5.70677,3.97468,0.22691,0.02887,0.00683,0.00218,2.48414,4.2754,3.29389,0.00332891,0.00332891,0.00332891
2,200.691,2.05146,4.42961,2.78733,0.20464,0.34489,0.1252,0.08274,1.55487,3.43695,2.36433,0.00662927,0.00662927,0.00662927
3,295.153,1.50019,3.53856,2.1959,0.34629,0.35816,0.24317,0.16736,1.43918,2.66412,2.14951,0.00989662,0.00989662,0.00989662
4,390.867,1.32873,2.9029,2.0041,0.43322,0.45486,0.41615,0.32506,1.16975,2.28913,1.95179,0.0098515,0.0098515,0.0098515
5,488.249,1.21505,2.47139,1.86741,0.40892,0.55704,0.48749,0.3818,1.08891,1.91928,1.86547,0.009802,0.009802,0.009802
6,587.673,1.14031,2.22048,1.77878,0.60142,0.56766,0.62665,0.5014,1.0917,1.72583,1.83928,0.0097525,0.0097525,0.0097525
7,685.809,1.08523,2.02207,1.70392,0.67261,0.57265,0.66101,0.55247,0.93767,1.58801,1.6973,0.009703,0.009703,0.009703
8,783.359,1.03378,1.86734,1.64266,0.74161,0.61729,0.71542,0.59318,1.01382,1.38827,1.77319,0.0096535,0.0096535,0.0096535
9,882.008,0.99487,1.75121,1.60374,0.68218,0.70656,0.76524,0.64521,0.8989,1.31225,1.64291,0.009604,0.009604,0.009604
10,981.497,0.96093,1.65051,1.55869,0.82862,0.69177,0.79611,0.66925,0.8826,1.17221,1.66623,0.0095545,0.0095545,0.0095545
11,1079.77,0.92917,1.56721,1.52042,0.80978,0.6979,0.80474,0.67156,0.85341,1.20717,1.58601,0.009505,0.009505,0.009505
12,1177.34,0.91344,1.50023,1.49723,0.82039,0.7445,0.83138,0.71182,0.91514,1.03653,1.70624,0.0094555,0.0094555,0.0094555
13,1276.32,0.90076,1.44414,1.48114,0.8382,0.72531,0.83529,0.71694,0.84417,1.03858,1.62666,0.009406,0.009406,0.009406
14,1374.96,0.88446,1.40838,1.45981,0.86851,0.76984,0.86369,0.74368,0.87941,0.87868,1.6583,0.0093565,0.0093565,0.0093565
15,1474.42,0.85886,1.33097,1.42631,0.85832,0.80326,0.87893,0.75223,0.86701,0.8847,1.62638,0.009307,0.009307,0.009307
16,1573.81,0.84542,1.29026,1.41036,0.89481,0.77517,0.87809,0.74288,0.88256,0.88099,1.65393,0.0092575,0.0092575,0.0092575
17,1673.11,0.83518,1.25359,1.40047,0.89143,0.78993,0.88401,0.76388,0.8244,0.84323,1.61194,0.009208,0.009208,0.009208
18,1771.49,0.8214,1.21265,1.38352,0.87598,0.80702,0.8846,0.76134,0.83497,0.8274,1.6121,0.0091585,0.0091585,0.0091585
19,1870.2,0.81586,1.1894,1.37524,0.86534,0.82058,0.88888,0.77165,0.8451,0.79049,1.61352,0.009109,0.009109,0.009109
20,1969.82,0.80753,1.16261,1.36996,0.9186,0.80066,0.89517,0.77845,0.81065,0.74893,1.6197,0.0090595,0.0090595,0.0090595
21,2068.49,0.79893,1.12126,1.35788,0.91476,0.81393,0.89821,0.78329,0.81011,0.77519,1.59611,0.00901,0.00901,0.00901
