epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8375,3.14237,5.81535,4.11588,0.00029,0.07335,0.00018,4e-05,2.74808,4.78657,4.29284,0.00332449,0.00332449,0.00332449
2,100.097,2.40431,4.88202,3.17608,0.25879,0.19837,0.07806,0.04305,1.67563,3.10342,2.60205,0.00662487,0.00662487,0.00662487
3,146.325,1.71713,3.95907,2.43589,0.28475,0.22173,0.11961,0.07028,1.49198,3.57698,2.3771,0.00989225,0.00989225,0.00989225
4,192.169,1.44799,3.38947,2.12781,0.42868,0.38268,0.31689,0.22206,1.18712,2.37336,1.99559,0.0098515,0.0098515,0.0098515
5,238.135,1.29815,2.92384,1.94031,0.46238,0.506,0.43527,0.33312,0.99016,2.23177,1.7525,0.009802,0.009802,0.009802
6,284.246,1.20618,2.57864,1.83808,0.55539,0.43577,0.47545,0.37492,0.96056,1.92987,1.71232,0.0097525,0.0097525,0.0097525
7,330.336,1.13487,2.34524,1.74829,0.55083,0.59003,0.55848,0.45489,0.89374,1.75023,1.59504,0.009703,0.009703,0.009703
8,376.643,1.09283,2.17582,1.69582,0.66873,0.59054,0.61648,0.51101,0.81291,1.62926,1.52758,0.0096535,0.0096535,0.0096535
9,422.749,1.04437,2.06053,1.658,0.67938,0.55475,0.61293,0.49479,0.90276,1.62696,1.59912,0.009604,0.009604,0.009604
10,468.97,1.02034,1.95479,1.61716,0.62454,0.62017,0.67975,0.55234,0.85088,1.43497,1.54348,0.0095545,0.0095545,0.0095545
11,514.846,0.98797,1.83731,1.56986,0.67377,0.64439,0.70653,0.57445,0.84302,1.31373,1.54992,0.009505,0.009505,0.009505
12,561.041,0.96948,1.77482,1.55245,0.80133,0.65653,0.76578,0.63026,0.80119,1.18164,1.52282,0.0094555,0.0094555,0.0094555
13,608.561,0.93869,1.67562,1.51593,0.8617,0.6156,0.77724,0.65534,0.72107,1.15076,1.40931,0.009406,0.009406,0.009406
14,656.705,0.92785,1.62096,1.49894,0.89614,0.6412,0.79868,0.67037,0.7285,1.10475,1.42715,0.0093565,0.0093565,0.0093565
15,704.787,0.91151,1.54717,1.47954,0.84111,0.681,0.79462,0.68014,0.68461,1.0675,1.38346,0.009307,0.009307,0.009307
16,753.103,0.88828,1.50695,1.45357,0.87098,0.72152,0.83768,0.69812,0.76542,0.99453,1.45735,0.0092575,0.0092575,0.0092575
17,801.142,0.86856,1.42959,1.43122,0.88282,0.71428,0.8462,0.72102,0.7087,0.94126,1.38244,0.009208,0.009208,0.009208
18,849.278,0.86843,1.42627,1.42943,0.85676,0.73596,0.85938,0.73445,0.66423,0.92414,1.36442,0.0091585,0.0091585,0.0091585
19,897.495,0.84055,1.37913,1.4034,0.90497,0.72312,0.86454,0.74086,0.64168,0.85981,1.32334,0.009109,0.009109,0.009109
20,945.989,0.84708,1.35106,1.40833,0.82092,0.78958,0.87317,0.73601,0.67048,0.85039,1.36908,0.0090595,0.0090595,0.0090595
21,994.194,0.81781,1.29898,1.38334,0.92397,0.72741,0.88649,0.76385,0.66617,0.82717,1.3329,0.00901,0.00901,0.00901
22,1042.15,0.81235,1.27505,1.37675,0.92376,0.74175,0.89472,0.772,0.62532,0.78965,1.31441,0.0089605,0.0089605,0.0089605
23,1090.11,0.80748,1.2515,1.37172,0.92629,0.77326,0.90396,0.77142,0.67281,0.77687,1.34797,0.008911,0.008911,0.008911
24,1138.04,0.80128,1.22768,1.36788,0.93822,0.78696,0.89984,0.78088,0.64507,0.75022,1.31736,0.0088615,0.0088615,0.0088615
25,1185.93,0.79422,1.21283,1.36026,0.86065,0.82262,0.90864,0.78006,0.63842,0.71375,1.32642,0.008812,0.008812,0.008812
26,1233.91,0.77779,1.16527,1.34573,0.84329,0.80941,0.90126,0.7784,0.64345,0.76973,1.33536,0.0087625,0.0087625,0.0087625
27,1282.02,0.77472,1.15963,1.34225,0.87892,0.81171,0.91869,0.78241,0.66674,0.74676,1.34484,0.008713,0.008713,0.008713
28,1330.11,0.77812,1.15924,1.34245,0.91225,0.82483,0.91545,0.78725,0.64827,0.72403,1.33378,0.0086635,0.0086635,0.0086635
29,1378.28,0.75469,1.09007,1.315,0.91575,0.83729,0.93764,0.80375,0.62236,0.66207,1.29495,0.008614,0.008614,0.008614
30,1426.14,0.74575,1.08815,1.3163,0.90451,0.86794,0.94414,0.81494,0.62093,0.59558,1.3068,0.0085645,0.0085645,0.0085645
31,1474.03,0.75513,1.09605,1.32255,0.96006,0.80878,0.9325,0.80616,0.62553,0.62216,1.31015,0.008515,0.008515,0.008515
32,1521.85,0.73629,1.06967,1.3026,0.89792,0.87485,0.94949,0.82294,0.6129,0.60966,1.29463,0.0084655,0.0084655,0.0084655
33,1569.78,0.73,1.04033,1.29568,0.91213,0.87933,0.95376,0.82451,0.61403,0.56675,1.29296,0.008416,0.008416,0.008416
34,1617.5,0.73428,1.039,1.2974,0.93259,0.86232,0.9509,0.8299,0.59411,0.58283,1.27796,0.0083665,0.0083665,0.0083665
35,1665.49,0.7293,1.02191,1.29391,0.9355,0.84978,0.943,0.81585,0.60003,0.59842,1.28245,0.008317,0.008317,0.008317
36,1713.29,0.71813,0.98741,1.27964,0.92406,0.86597,0.94833,0.82877,0.58585,0.5579,1.26852,0.0082675,0.0082675,0.0082675
37,1761.17,0.71031,0.98466,1.27743,0.92879,0.85657,0.95453,0.83706,0.57889,0.55659,1.24639,0.008218,0.008218,0.008218
38,1809.12,0.71513,0.96892,1.27252,0.94275,0.88955,0.96173,0.83069,0.60391,0.53941,1.28954,0.0081685,0.0081685,0.0081685
39,1857.11,0.71422,0.98353,1.2786,0.91743,0.86203,0.95331,0.83047,0.59386,0.55956,1.26407,0.008119,0.008119,0.008119
40,1904.97,0.70487,0.97047,1.26999,0.94222,0.87168,0.95867,0.8366,0.57854,0.50401,1.25574,0.0080695,0.0080695,0.0080695
41,1952.83,0.69956,0.95207,1.26741,0.9393,0.87241,0.95983,0.83378,0.58576,0.52464,1.26537,0.00802,0.00802,0.00802
42,2000.53,0.69245,0.93406,1.26179,0.92993,0.88114,0.96602,0.84814,0.55398,0.5169,1.23908,0.0079705,0.0079705,0.0079705
43,2048.36,0.69209,0.91906,1.25991,0.94396,0.87285,0.95305,0.84199,0.56005,0.52887,1.23428,0.007921,0.007921,0.007921
44,2096.2,0.6947,0.92115,1.2609,0.95231,0.88768,0.96586,0.84038,0.57341,0.50266,1.25511,0.0078715,0.0078715,0.0078715
45,2144.23,0.68189,0.90098,1.24842,0.95254,0.90064,0.97072,0.84772,0.57395,0.46611,1.25508,0.007822,0.007822,0.007822
46,2192.04,0.68314,0.90716,1.25545,0.91744,0.90864,0.96731,0.84467,0.57222,0.49468,1.25691,0.0077725,0.0077725,0.0077725
47,2239.94,0.67842,0.89106,1.24166,0.93369,0.89154,0.96434,0.84428,0.5701,0.49169,1.25135,0.007723,0.007723,0.007723
48,2287.94,0.67479,0.87787,1.2446,0.94091,0.88051,0.96089,0.84246,0.57027,0.49842,1.24759,0.0076735,0.0076735,0.0076735
49,2336.01,0.68139,0.88125,1.24603,0.93073,0.89495,0.96575,0.84168,0.57257,0.49195,1.26069,0.007624,0.007624,0.007624
50,2383.84,0.67218,0.87037,1.23986,0.9435,0.8884,0.9667,0.85082,0.5482,0.47602,1.22862,0.0075745,0.0075745,0.0075745
51,2431.8,0.66682,0.85911,1.24029,0.94486,0.90454,0.96689,0.84312,0.57681,0.47338,1.26527,0.007525,0.007525,0.007525
52,2479.37,0.66819,0.855,1.23361,0.94526,0.90026,0.96826,0.85509,0.55945,0.46969,1.25315,0.0074755,0.0074755,0.0074755
53,2527.16,0.66026,0.84889,1.22951,0.92517,0.91342,0.96917,0.85907,0.53618,0.46079,1.21586,0.007426,0.007426,0.007426
54,2575.07,0.65906,0.84231,1.23242,0.9485,0.89603,0.96671,0.8511,0.56272,0.46236,1.24157,0.0073765,0.0073765,0.0073765
55,2623.13,0.66872,0.83904,1.23462,0.93676,0.90352,0.9679,0.85623,0.54475,0.46594,1.22304,0.007327,0.007327,0.007327
56,2671.32,0.65018,0.82953,1.2252,0.94502,0.92129,0.96555,0.85127,0.5449,0.46412,1.22261,0.0072775,0.0072775,0.0072775
57,2719.53,0.65826,0.82833,1.23134,0.92702,0.92785,0.97153,0.85844,0.53469,0.44794,1.20866,0.007228,0.007228,0.007228
58,2767.33,0.6543,0.81554,1.22316,0.93705,0.9345,0.9749,0.85987,0.53699,0.43459,1.20491,0.0071785,0.0071785,0.0071785
59,2815.33,0.64332,0.81235,1.21494,0.9431,0.91963,0.97167,0.86275,0.53334,0.43554,1.21764,0.007129,0.007129,0.007129
60,2863.3,0.65385,0.80409,1.22364,0.93994,0.9241,0.97013,0.85734,0.53983,0.43871,1.2222,0.0070795,0.0070795,0.0070795
61,2911.19,0.64954,0.80972,1.22715,0.93096,0.9316,0.97395,0.86245,0.54017,0.42029,1.21583,0.00703,0.00703,0.00703
62,2959.05,0.6451,0.80181,1.22356,0.92914,0.9274,0.96853,0.86386,0.5417,0.42887,1.22644,0.0069805,0.0069805,0.0069805
63,3007.17,0.63715,0.79019,1.20784,0.95389,0.90998,0.9762,0.86386,0.546,0.40293,1.22868,0.006931,0.006931,0.006931
64,3055.21,0.63265,0.7928,1.21,0.94723,0.92563,0.96937,0.85774,0.53915,0.43512,1.21729,0.0068815,0.0068815,0.0068815
65,3103.08,0.63448,0.77978,1.21127,0.94016,0.91811,0.97154,0.86026,0.54268,0.41319,1.22698,0.006832,0.006832,0.006832
66,3151,0.62789,0.76041,1.20286,0.93432,0.91862,0.97179,0.85949,0.54907,0.41411,1.24145,0.0067825,0.0067825,0.0067825
67,3198.99,0.64086,0.76937,1.21215,0.94034,0.94168,0.97252,0.86157,0.53083,0.41025,1.20842,0.006733,0.006733,0.006733
68,3246.83,0.62711,0.75601,1.20062,0.95082,0.92855,0.97424,0.87126,0.53018,0.41003,1.21186,0.0066835,0.0066835,0.0066835
69,3294.62,0.62532,0.74648,1.19726,0.9449,0.91959,0.97141,0.8642,0.52911,0.407,1.21982,0.006634,0.006634,0.006634
70,3342.48,0.62185,0.75042,1.19721,0.95532,0.91707,0.97395,0.86446,0.53887,0.39779,1.22059,0.0065845,0.0065845,0.0065845
71,3390.35,0.62857,0.74708,1.20011,0.94365,0.93174,0.97536,0.87119,0.528,0.39858,1.2118,0.006535,0.006535,0.006535
72,3438.3,0.62551,0.7502,1.19659,0.96461,0.91627,0.97338,0.8688,0.51534,0.39661,1.18771,0.0064855,0.0064855,0.0064855
73,3486.15,0.61716,0.73454,1.19288,0.94916,0.93057,0.97622,0.86609,0.5311,0.39025,1.22003,0.006436,0.006436,0.006436
74,3534.3,0.61738,0.7319,1.19911,0.95823,0.93149,0.97547,0.86819,0.52681,0.38766,1.21063,0.0063865,0.0063865,0.0063865
75,3582.47,0.61375,0.7424,1.19227,0.96217,0.92482,0.97617,0.87069,0.52437,0.38686,1.20995,0.006337,0.006337,0.006337
76,3630.44,0.60574,0.70929,1.18012,0.95408,0.93085,0.97649,0.86834,0.51676,0.39135,1.19324,0.0062875,0.0062875,0.0062875
77,3678.56,0.61558,0.73007,1.18832,0.9471,0.9414,0.97816,0.8731,0.52218,0.37849,1.20769,0.006238,0.006238,0.006238
78,3726.58,0.60661,0.70996,1.18832,0.95153,0.92987,0.97845,0.8726,0.5328,0.38198,1.22366,0.0061885,0.0061885,0.0061885
79,3774.46,0.60789,0.71442,1.18647,0.96973,0.90526,0.97666,0.87514,0.51758,0.38461,1.19068,0.006139,0.006139,0.006139
80,3822.34,0.60536,0.70899,1.18441,0.9627,0.91247,0.97733,0.8732,0.52924,0.38535,1.21115,0.0060895,0.0060895,0.0060895
81,3870.07,0.60248,0.69471,1.18189,0.95497,0.93021,0.97573,0.86898,0.53372,0.39122,1.22203,0.00604,0.00604,0.00604
82,3918,0.6073,0.69696,1.18557,0.95355,0.92637,0.9754,0.8725,0.52854,0.38658,1.21504,0.0059905,0.0059905,0.0059905
83,3966.05,0.60163,0.69472,1.1786,0.9652,0.91645,0.97468,0.87004,0.52073,0.38882,1.21152,0.005941,0.005941,0.005941
84,4014.14,0.59925,0.69258,1.17083,0.96289,0.92861,0.97936,0.87783,0.52012,0.37489,1.20572,0.0058915,0.0058915,0.0058915
85,4062.25,0.60146,0.69357,1.17736,0.95624,0.9321,0.97752,0.87264,0.5213,0.37079,1.2098,0.005842,0.005842,0.005842
86,4110.22,0.60393,0.69089,1.18638,0.93914,0.94382,0.97881,0.87332,0.51762,0.36669,1.20946,0.0057925,0.0057925,0.0057925
