epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9014,0.61126,0.73786,1.18278,0.77711,0.82783,0.88345,0.68768,0.87387,0.87634,1.34527,0.000109832,0.000109832,0.000109832
2,46.6525,0.63325,0.77952,1.21067,0.71426,0.71532,0.82601,0.59321,1.07711,1.12161,1.50638,0.000198969,0.000198969,0.000198969
3,59.0039,0.64252,0.80253,1.21955,0.66246,0.87067,0.8722,0.63363,1.06331,1.01014,1.51707,0.000266129,0.000266129,0.000266129
4,71.1999,0.64026,0.79194,1.21004,0.77194,0.79774,0.86289,0.67548,0.8987,0.97238,1.33313,0.000234099,0.000234099,0.000234099
5,83.2733,0.62521,0.7683,1.20126,0.73157,0.7999,0.86471,0.66664,0.92858,0.91383,1.36397,0.000201132,0.000201132,0.000201132
6,95.6392,0.6185,0.71819,1.17589,0.83101,0.7757,0.87159,0.69313,0.89934,0.87436,1.31558,0.000168165,0.000168165,0.000168165
7,107.692,0.59532,0.66967,1.1608,0.85587,0.8355,0.91631,0.72165,0.90818,0.81666,1.34093,0.000135198,0.000135198,0.000135198
8,119.826,0.58148,0.63669,1.15913,0.79002,0.83774,0.87999,0.69849,0.88523,0.81812,1.31429,0.000102231,0.000102231,0.000102231
9,131.954,0.57674,0.62395,1.14521,0.85923,0.82772,0.91306,0.71559,0.86305,0.76999,1.29813,6.9264e-05,6.9264e-05,6.9264e-05
10,144.219,0.55134,0.588,1.12947,0.86928,0.81859,0.92227,0.71652,0.93213,0.76509,1.34247,3.6297e-05,3.6297e-05,3.6297e-05
